features,model,accuracy
"('mfccs', 'chroma', 'spectral_contrast', 'rms_energy')",SVM,0.7732997481108312
"('mfccs', 'spectral_contrast', 'zcr', 'rms_energy')",SVM,0.7732997481108312
"('chroma', 'centroid', 'rms_energy')",Logistic Regression,0.7707808564231738
"('zcr', 'rolloff', 'rms_energy')",Random Forest,0.7707808564231738
"('chroma', 'zcr', 'centroid', 'rms_energy')",Logistic Regression,0.7682619647355163
"('spectral_contrast', 'zcr', 'centroid')",SVM,0.7657430730478589
"('chroma', 'spectral_contrast', 'centroid')",SVM,0.7657430730478589
"('spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7657430730478589
"('chroma', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7657430730478589
"('chroma', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",SVM,0.7657430730478589
"('spectral_contrast', 'centroid', 'rms_energy')",SVM,0.7657430730478589
"('chroma', 'spectral_contrast', 'zcr', 'centroid')",SVM,0.7657430730478589
"('chroma', 'spectral_contrast', 'centroid', 'rms_energy')",SVM,0.7657430730478589
"('spectral_contrast', 'centroid')",SVM,0.7657430730478589
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",SVM,0.7657430730478589
"('spectral_contrast', 'rolloff', 'centroid')",SVM,0.7657430730478589
"('spectral_contrast', 'zcr', 'rolloff', 'centroid')",SVM,0.7657430730478589
"('spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7657430730478589
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7657430730478589
"('spectral_contrast', 'zcr', 'centroid', 'rms_energy')",SVM,0.7657430730478589
"('chroma', 'spectral_contrast', 'rolloff', 'centroid')",SVM,0.7657430730478589
"('spectral_contrast', 'zcr', 'rolloff')",SVM,0.7632241813602015
"('spectral_contrast', 'rolloff')",SVM,0.7632241813602015
"('spectral_contrast', 'rolloff', 'rms_energy')",SVM,0.7632241813602015
"('chroma', 'spectral_contrast', 'zcr', 'rolloff')",SVM,0.7632241813602015
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",SVM,0.7632241813602015
"('spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",SVM,0.7632241813602015
"('chroma', 'spectral_contrast', 'rolloff')",SVM,0.7632241813602015
"('chroma', 'spectral_contrast', 'rolloff', 'rms_energy')",SVM,0.7632241813602015
"('rolloff', 'centroid')",SVM,0.760705289672544
"('zcr', 'rolloff', 'centroid', 'rms_energy')",SVM,0.760705289672544
"('chroma', 'rolloff', 'centroid')",SVM,0.7581863979848866
"('chroma', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7581863979848866
"('rolloff', 'centroid', 'rms_energy')",SVM,0.7581863979848866
"('chroma', 'zcr', 'rolloff', 'centroid')",SVM,0.7581863979848866
"('chroma', 'zcr', 'centroid')",Logistic Regression,0.7581863979848866
"('zcr', 'rolloff', 'centroid')",SVM,0.7581863979848866
"('chroma', 'zcr', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7581863979848866
"('rolloff',)",SVM,0.7556675062972292
